host,clock,net.if.in[ens160],net.if.out[ens160],"proc.num[,,run]",proc.num[],system.cpu.intr,"system.cpu.load[percpu,avg1]","system.cpu.load[percpu,avg15]","system.cpu.load[percpu,avg5]",system.cpu.switches,"system.cpu.util[,idle]","system.cpu.util[,interrupt]","system.cpu.util[,iowait]","system.cpu.util[,nice]","system.cpu.util[,softirq]","system.cpu.util[,steal]","system.cpu.util[,system]","system.cpu.util[,user]","system.swap.size[,free]","system.swap.size[,pfree]","system.swap.size[,total]","vfs.fs.inode[/,pfree]","vfs.fs.inode[/boot,pfree]","vfs.fs.inode[/var/lib/docker/aufs,pfree]","vfs.fs.inode[/var/lib/kubelet,pfree]","vfs.fs.inode[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/,pfree]","vfs.fs.size[/,total]","vfs.fs.size[/,used]","vfs.fs.size[/boot,free]","vfs.fs.size[/boot,pfree]","vfs.fs.size[/boot,total]","vfs.fs.size[/boot,used]","vfs.fs.size[/var/lib/docker/aufs,pfree]","vfs.fs.size[/var/lib/docker/aufs,total]","vfs.fs.size[/var/lib/docker/aufs,used]","vfs.fs.size[/var/lib/kubelet,free]","vfs.fs.size[/var/lib/kubelet,pfree]","vfs.fs.size[/var/lib/kubelet,total]","vfs.fs.size[/var/lib/kubelet,used]","vfs.fs.size[/var/lib/rancher/volumes,free]","vfs.fs.size[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/var/lib/rancher/volumes,total]","vfs.fs.size[/var/lib/rancher/volumes,used]",vm.memory.size[available],vm.memory.size[total],cpu,mem,io
10274,1524552992,386344,87488,2,207,1235,10.87,15.61,29.41,4693,95.8446,0,0.4053,0,0.3208,0,1.3167,2.1614,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5218,79680208896,7166394368,408983552,87.2071,494512128,59996160,90.5218,79680208896,7166398464,68442615808,90.5218,79680208896,7166394368,68442603520,90.5218,79680208896,7166406656,3483553792,4143763456,0,0,0
10274,1524552997,158256,86720,2,207,1241,10,15.53,28.93,4533,95.7953,0,0.3885,0,0.3041,0,1.3005,2.1453,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5218,79680208896,7166406656,408983552,87.2071,494512128,59996160,90.5217,79680208896,7166414848,68442603520,90.5218,79680208896,7166406656,68442595328,90.5217,79680208896,7166414848,3483496448,4143763456,0,0,0
10274,1524553002,250736,125616,2,207,1173,10,15.44,28.45,4519,95.8453,0,0.3884,0,0.3209,0,1.3511,2.1111,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5217,79680208896,7166423040,408983552,87.2071,494512128,59996160,90.5217,79680208896,7166423040,68442595328,90.5217,79680208896,7166414848,68442587136,90.5217,79680208896,7166423040,3483553792,4143763456,0,0,0
10274,1524553007,219160,84600,2,207,1276,9.2,15.36,27.97,4412,95.8101,0,0.3885,0.0169,0.3377,0,1.3849,2.1453,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5217,79680208896,7166423040,408983552,87.2071,494512128,59996160,90.5217,79680208896,7166431232,68442587136,90.5217,79680208896,7166423040,68442578944,90.5217,79680208896,7166431232,3483582464,4143763456,0,0,0
10274,1524553012,406048,122832,2,207,1247,8.46,15.28,27.51,4871,95.7447,0,0.3883,0.0338,0.3714,0,1.4182,2.1273,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5217,79680208896,7166431232,408983552,87.2071,494512128,59996160,90.5217,79680208896,7166439424,68442578944,90.5217,79680208896,7166431232,68442570752,90.5217,79680208896,7166439424,3483471872,4143763456,0,0,0
10274,1524553017,157408,108952,3,207,1244,7.78,15.2,27.05,4452,95.7792,0,0.3883,0.0338,0.3545,0,1.3673,2.026,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5217,79680208896,7166439424,408983552,87.2071,494512128,59996160,90.5217,79680208896,7166447616,68442570752,90.5217,79680208896,7166439424,68442562560,90.5217,79680208896,7166447616,3483607040,4143763456,0,0,0
10274,1524553022,275448,89328,2,207,1206,6.58,15.11,26.6,4817,95.896,0,0.3039,0.0338,0.3883,0,1.4016,2.0598,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5217,79680208896,7166455808,408983552,87.2071,494512128,59996160,90.5217,79680208896,7166455808,68442554368,90.5217,79680208896,7166455808,68442554368,90.5217,79680208896,7166455808,3483742208,4143763456,0,0,0
10274,1524553027,163440,569208,2,207,1242,6.06,15.03,26.16,4483,95.8305,0,0.287,0.0338,0.3883,0,1.4177,1.9581,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5217,79680208896,7166464000,408983552,87.2071,494512128,59996160,90.5217,79680208896,7166464000,68442554368,90.5217,79680208896,7166455808,68442546176,90.5217,79680208896,7166464000,3483877376,4143763456,0,0,0
10274,1524553032,377424,128248,2,207,1179,5.57,14.95,25.73,4662,95.8488,0,0.2869,0.0337,0.3879,0,1.4006,2.0081,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5217,79680208896,7166472192,408983552,87.2071,494512128,59996160,90.5217,79680208896,7166472192,68442537984,90.5217,79680208896,7166472192,68442537984,90.5217,79680208896,7166472192,3483848704,4143763456,0,0,0
10274,1524553037,163552,87512,4,207,1217,5.12,14.87,25.3,4613,95.8488,0,0.2699,0.0337,0.3881,0,1.4507,2.0408,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5217,79680208896,7166480384,408983552,87.2071,494512128,59996160,90.5217,79680208896,7166480384,68442529792,90.5217,79680208896,7166480384,68442529792,90.5217,79680208896,7166480384,3483893760,4143763456,0,0,0
